trace,section,metric,value,unit
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,stall_count,156.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,active_cycles,6179.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,active_pct_busy,6.471376804004944,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,active_pct_user_kernel_body,7.20768010451661,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,util_pct_busy,6.471376804004944,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,util_pct_user_kernel_body,7.20768010451661,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,stall_pct_activity,2.462509865824783,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_event_count,6179.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_mean_interval,12.944804143735837,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_p50_interval,2.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_p90_interval,4.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_p99_interval,624.9899999999943,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_max_interval,2233.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_max_burst_len,1.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_consecutive_interval_pct,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,pe_index,1.0,index
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_count,0.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_int,stall_count,0.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_int,active_cycles,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,active_pct_busy,0.0,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_int,active_pct_user_kernel_body,0.0,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_int,util_pct_busy,0.0,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_int,util_pct_user_kernel_body,0.0,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_int,stall_pct_activity,0.0,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_event_count,0.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_mean_interval,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_p50_interval,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_p90_interval,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_p99_interval,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_max_interval,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_max_burst_len,0.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_int,fire_consecutive_interval_pct,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_bytes,18048.0,bytes
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_bytes,45340.0,bytes
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,total_bytes,63388.0,bytes
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_count,289.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_count,282.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_count,5547.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_data_count,5547.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_rsp_count,5462.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,active_cycles,7699.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,active_pct_busy,8.06329988898431,pct
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,active_pct_user_kernel_body,8.980729749906681,pct
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,bandwidth_bytes_per_active_cycle,8.233277048967398,B/cycle
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,bandwidth_bytes_per_busy_cycle,0.663873819149159,B/cycle
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,bandwidth_bytes_per_user_cycle,0.739408361328854,B/cycle
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_latency_count,282.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_latency_mean,1777.386524822695,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_latency_p50,132.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_latency_p90,8316.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_latency_p99,8317.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_latency_max,8317.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_latency_count,5462.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_latency_mean,1284.1699011351154,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_latency_p50,254.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_latency_p90,4385.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_latency_p99,4715.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_latency_max,4814.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_event_count,289.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_mean_interval,294.68402777777777,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_p50_interval,3.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_p90_interval,176.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_p99_interval,8126.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_max_interval,8126.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_max_burst_len,2.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_req_consecutive_interval_pct,2.4305555555555554,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_event_count,282.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_mean_interval,302.01423487544486,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_p50_interval,3.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_p90_interval,176.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_p99_interval,8126.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_max_interval,8126.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_max_burst_len,2.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,read_rsp_consecutive_interval_pct,7.473309608540926,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_event_count,5547.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_mean_interval,15.246483952398124,cycles
