cycle,head_tag,head_addr,head_psum_ready,post_count,post_launch,tree_credit,input_valid,input_ready,rd_fire,logical_slot,logical_rsp_slot,rsp_fire,core_rsp_tag,core_rsp_fire,request_txn,join_free,join_alloc,join_issue,join_issue_done,lane_req_valid,lane_req_fire,lane_rsp_valid,lane_rsp_ready,lane_rsp_tags,join_rsp_tag,join_rsp_valid,join_rsp_ready,lane_addr,b0_root_valid,b0_root_read,b0_root_write,b0_selected_root,b0_selected,b0_grant_fire,b4_root_valid,b4_root_read,b4_root_write,b4_selected_root,b4_selected,b4_grant_fire,b8_root_valid,b8_root_read,b8_root_write,b8_selected_root,b8_selected,b8_grant_fire,b12_root_valid,b12_root_read,b12_root_write,b12_selected_root,b12_selected,b12_grant_fire
96380,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96381,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96382,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96383,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96384,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96385,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,1,240,240,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96386,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,4,1,255,255,0,0,17871427891655,0,0,1,226049870052059371422613675296600711902923299726496662090846294553371625424,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96387,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,8,1,255,255,0,0,17871427891655,0,0,1,226049871737056038904166379751999659823990807820395092974342389568361744344,0,2,0,0,7,0,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96388,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,9,1,255,255,240,240,1864135,0,0,1,226049873422052706385719084207398607745058315914293523857838484583351863264,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96389,32177,8585886784,0,4,0,0,1,0,0,0,2,1,32180,0,32192,0,0,10,1,255,255,240,240,13403571384775,2,1,1,226049875107049373867271788662797555666125824008191954741334579598341982184,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96390,32177,8585886784,1,4,1,0,1,0,0,0,3,1,32177,1,32192,0,0,11,1,255,255,240,240,22339284398535,3,1,1,226049876792046041348824493118196503587193332102090385624830674613332101104,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,2,2,0,1,12,1
96391,32178,8585886848,1,3,1,0,1,0,0,0,5,1,32179,1,32192,0,0,12,1,255,255,240,240,26807140905415,5,1,1,226049878477042708830377197573595451508260840195988816508326769628322220024,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96392,32179,8585886912,1,3,1,0,1,1,0,0,6,1,32179,0,32192,0,0,13,1,255,255,240,240,4467858371015,6,1,1,226049880162039376311929902028994399429328348289887247391822864643312338944,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,2,2,0,1,12,1
96393,32180,8585886976,1,3,0,0,1,1,1,2,7,1,32181,1,32194,0,1,14,1,255,255,240,240,8935714877895,7,1,1,226049881847036043793482606484393347350395856383785678275318959658302457864,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96394,32180,8585886976,1,4,1,0,1,1,1,3,9,1,32182,1,32195,1,1,0,1,255,255,240,240,31274997412295,9,1,1,226049883532032711275035310939792295271463364477684109158815054673292576784,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,2,2,0,1,12,1
96395,32181,8585887040,1,3,0,0,1,0,1,4,10,1,32183,1,32196,2,1,1,1,255,255,255,255,17871427092740,10,1,1,226049885217029378756588015395191243192530872571582540042311149688282695704,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96396,32181,8585887040,1,4,1,0,1,1,0,0,8,1,32184,1,32192,3,0,2,1,255,255,255,255,35742854185480,8,1,1,226049886902026046238140719850590191113598380665480970925807244703272814624,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96397,32182,8585887104,1,3,0,0,1,0,1,5,12,1,32184,0,32197,3,1,0,0,0,0,255,255,40210710958665,12,1,1,226049883532032711275035310939792295271463364477684109158815054673292576784,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,2,2,0,1,12,1
96398,32182,8585887104,1,4,1,0,1,1,0,0,11,1,32185,1,32192,4,0,3,1,255,255,255,255,44678567731850,11,1,1,226049888587022713719693424305989139034665888759379401809303339718262933544,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96399,32183,8585887168,1,3,0,0,1,0,1,6,13,1,32185,0,32198,4,1,0,0,0,0,255,255,49146424505035,13,1,1,226049883532032711275035310939792295271463364477684109158815054673292576784,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,3,2,0,0,0,1
96400,32183,8585887168,1,4,1,0,1,1,0,0,1,1,32186,1,32192,5,0,4,1,255,255,255,255,53614281278220,1,1,1,226049890272019381201246128761388086955733396853277832692799434733253052464,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,3,2,0,0,0,1
96401,32184,8585887232,1,3,0,0,1,0,1,7,14,1,32186,0,32199,5,1,0,0,0,0,255,255,58082138051405,14,1,1,226049883532032711275035310939792295271463364477684109158815054673292576784,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96402,32184,8585887232,1,4,1,0,1,1,0,0,0,1,32187,1,32192,6,0,5,1,255,255,15,15,58082138317710,0,1,1,226049891957016048682798833216787034876800904947176263576295529748243171384,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,3,2,0,0,0,1
96403,32185,8585887296,1,3,0,0,1,0,1,8,14,0,32187,0,32200,6,1,0,0,0,0,255,255,0,14,0,0,226049883532032711275035310939792295271463364477684109158815054673292576784,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,3,2,0,0,0,1
96404,32185,8585887296,1,4,1,0,1,1,0,0,2,1,32188,1,32192,0,0,6,1,255,255,255,255,62549991362625,2,1,1,226049893642012716164351537672185982797868413041074694459791624763233290304,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,3,2,0,0,0,1
96405,32186,8585887360,1,3,0,0,1,0,1,9,15,1,32188,0,32201,0,1,0,0,0,0,255,255,8935713546370,15,1,1,226049883532032711275035310939792295271463364477684109158815054673292576784,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96406,32186,8585887360,1,4,1,0,1,1,0,0,4,1,32189,1,32192,2,0,0,1,255,255,0,0,8935713546370,4,1,1,226049895327009383645904242127584930718935921134973125343287719778223409224,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96407,32187,8585887424,1,3,0,0,1,0,1,10,15,0,32189,0,32202,2,1,0,0,0,0,15,15,8935713812675,15,0,0,226049895327009383645904242127584930718935921134973125343287719778223409224,2,2,0,1,8,1,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96408,32187,8585887424,1,4,1,0,1,1,0,0,15,0,32190,1,32192,7,0,2,1,255,255,0,0,8935713812675,15,0,0,226049897012006051127456946582983878640003429228871556226783814793213528144,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96409,32188,8585887488,1,3,0,0,1,0,1,11,15,0,32190,0,32203,7,1,0,0,0,0,255,255,17871427092740,15,0,0,226049895327009383645904242127584930718935921134973125343287719778223409224,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96410,32188,8585887488,1,4,1,0,1,1,0,0,6,1,32191,1,32192,4,0,7,0,255,15,0,0,17871427092740,6,1,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
